Voltage (V),Current (A)
-0.32449,7.34997
-0.31428,7.26597
-0.30408,7.13297
-0.29387,7.14697
-0.28366,7.13297
-0.27346,7.06997
-0.26325,7.08747
-0.25304,7.16097
-0.24283,7.17147
-0.23263,7.17147
-0.22242,7.30097
-0.21221,7.38847
-0.202,7.42347
-0.19179,7.58447
-0.18159,7.74546
-0.17138,7.84346
-0.16117,8.00446
-0.15096,8.24596
-0.14076,8.43846
-0.13055,8.61696
-0.12034,8.96346
-0.11013,9.28546
-0.09993,9.56196
-0.08972,10.00645
-0.07951,10.49295
-0.0693,10.93045
-0.0591,11.40995
-0.04889,12.01545
-0.03868,12.52294
-0.02847,12.90444
-0.01827,13.43294
-0.00806,13.83194
0.00215,14.08744
0.01236,14.40594
0.02256,14.73143
0.03277,14.90993
0.04298,15.02893
0.05319,15.30193
0.06339,15.42793
0.0736,15.38243
0.08381,15.53293
0.09402,15.59068
0.10422,15.42443
0.11443,15.28618
0.12464,15.16193
0.13485,14.82243
0.14505,14.33944
0.15526,14.02969
0.16547,13.56244
0.17568,12.97619
0.18588,12.58244
0.19609,12.21495
0.2063,11.8107
0.21651,11.5027
0.22672,11.35395
0.23692,11.1702
0.24713,10.9567
0.25734,10.9707
0.26754,10.9322
0.27775,10.83245
0.28796,10.85345
0.29817,10.9007
0.30838,10.8727
0.31858,10.85345
0.32879,10.9427
0.339,10.9637
0.34921,10.91645
0.35941,11.02845
0.36962,11.09145
0.37983,11.0932
