Voltage (V),Current (A)
-0.32449,6.08997
-0.31428,5.93597
-0.30408,5.88697
-0.29387,5.86597
-0.28366,5.79597
-0.27346,5.75047
-0.26325,5.79597
-0.25304,5.79947
-0.24283,5.76097
-0.23263,5.84497
-0.22242,5.91147
-0.21221,5.92547
-0.202,6.01297
-0.19179,6.13547
-0.18159,6.20897
-0.17138,6.28947
-0.16117,6.47847
-0.15096,6.62547
-0.14076,6.73397
-0.13055,6.98947
-0.12034,7.24847
-0.11013,7.47247
-0.09993,7.79096
-0.08972,8.18996
-0.07951,8.53646
-0.0693,8.85846
-0.0591,9.32046
-0.04889,9.72996
-0.03868,10.04845
-0.02847,10.48595
-0.01827,10.91645
-0.00806,11.25245
0.00215,11.60245
0.01236,12.00495
0.02256,12.2762
0.03277,12.41969
0.04298,12.73469
0.05319,12.90969
0.06339,12.92369
0.0736,13.02694
0.08381,13.10044
0.09402,12.99544
0.10422,12.82919
0.11443,12.75569
0.12464,12.48094
0.13485,12.02595
0.14505,11.7407
0.15526,11.3382
0.16547,10.81845
0.17568,10.4037
0.18588,10.0712
0.19609,9.71071
0.2063,9.38171
0.21651,9.25571
0.22672,9.10346
0.23692,8.91796
0.24713,8.90046
0.25734,8.88471
0.26754,8.81296
0.27775,8.80071
0.28796,8.86196
0.29817,8.85671
0.30838,8.89477
0.31858,8.91096
0.32879,8.94946
0.339,8.92321
0.34921,9.00021
0.35941,9.08071
0.36962,9.10171
0.37983,9.14196
